id,origin_url,image_url,update_time,parsing_time,price,total_area,living_area,kitchen_area,room_number,floor,total_floor,housing,complex,point,state,city,district,street,house_number,ssf,izf,gzf
864,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-agronomichnoe-michurina-ulitsa-17484591.html,https://cdn.riastatic.com/photos/dom/photo/11617/1161767/116176748/116176748.jpg,2020-09-06 04:19:30.000000,2020-09-06 08:26:45.503646,38772,80.05,39.88,17.27,3,3,5,primary,ЖК Софія,0101000020E61000005AFA22105C5F3C40E80459D3C1974840,Вінницька область,Вінниця,Агрономічне,Мічуріна вулиця,"",0,0.33937678,0.38537982
865,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-dalnee-zamoste-nemirovskoe-shosse-17225154.html,https://cdn.riastatic.com/photos/dom/photo/11313/1131321/113132193/113132193.jpg,2020-09-06 04:20:01.000000,2020-09-06 08:26:45.508133,26000,48,21,13,1,10,10,primary,ЖК Сімейний Comfort,0101000020E610000031ADF2A908903C403450CF71249C4840,Вінницька область,Вінниця,Замостя,Немирівське шосе,94,0,4.443127,0
866,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-zamoste-nemirovskoe-shosse-17584033.html,https://cdn.riastatic.com/photos/dom/photo/11748/1174830/117483060/117483060.jpg,2020-09-06 04:16:58.000000,2020-09-06 08:26:45.512729,38000,72,35,17,2,3,10,primary,ЖК Сімейний Comfort,0101000020E6100000C4AC725807903C40D81D7DBF269C4840,Вінницька область,Вінниця,Замостя,Немирівське шосе,94,0,4.683878,0
867,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-bucha-bucha-leonida-biryukova-bulvar-17577414.html,https://cdn.riastatic.com/photos/dom/photo/11696/1169643/116964377/116964377.jpg,2020-09-04 10:22:10.000000,2020-09-06 08:26:45.517487,62000,77,31,30,2,3,18,primary,ЖК Гранд Бурже,0101000020E6100000AB7A0CF849333E40885F697675464940,Київська область,Буча,Буча,Леоніда Бірюкова бульвар,2а,0,0.4138531,0.22477712
868,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-ternopol-petrikov-voinov-upa-ulitsa-17068440.html,https://cdn.riastatic.com/photos/dom/photo/11156/1115694/111569474/111569474.jpg,2020-09-06 05:21:39.000000,2020-09-06 08:26:45.521966,19301,43.01,22.02,10.74,1,5,9,primary,ЖК КОМФОРТ ТАУН ПЛЮС,0101000020E610000078736A8E76903940F9361DC6D4C44840,Тернопільська область,Тернопіль,Петриків,Воїнів УПА вулиця,"",0,0.77011305,1.5723944
869,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-akademicheskiy-nikolaevskaya-ulitsa-17561564.html,https://cdn.riastatic.com/photos/dom/photo/11733/1173391/117339152/117339152.jpg,2020-09-06 04:19:31.000000,2020-09-06 08:26:45.526922,64000,72,42,16,2,5,7,primary,"",0101000020E6100000FDEE10A0B36B3C40E6A4850C959A4840,Вінницька область,Вінниця,Академічний район,Миколаївська вулиця,25,0,1.0625459,0.56405663
870,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-koreya-generala-arabeya-ulitsa-15174469.html,https://cdn.riastatic.com/photos/dom/photo/11727/1172701/117270134/117270134.jpg,2020-09-06 04:20:43.000000,2020-09-06 08:26:45.531942,29500,41,18,12,1,4,8,primary,"",0101000020E6100000BC531ADAAB6F3C409C9BA7981C9F4840,Вінницька область,Вінниця,Корея,Генерала Арабея вулиця,"",0,4.56266,0.5131536
871,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-vinnitsa-tyajilov-vatutina-ulitsa-17517906.html,https://cdn.riastatic.com/photos/dom/photo/11724/1172455/117245515/117245515.jpg,2020-09-06 04:20:20.000000,2020-09-06 08:26:45.536998,36000,52,26,10,2,5,10,primary,ЖК Східна Перлина,0101000020E610000094CB13627E8C3C409A196226ADA04840,Вінницька область,Вінниця,Тяжилів,Ватутіна вулиця,137,0,21.836866,0
872,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-ternopol-bam-tarnavskogo-mirona-generala-ulitsa-17484983.html,https://cdn.riastatic.com/photos/dom/photo/11598/1159800/115980094/115980094.jpg,2020-09-06 05:21:40.000000,2020-09-06 08:26:45.542059,29000,49,0,0,1,6,6,primary,"",0101000020E61000004A134ABAC1A13940C3E226593DC84840,Тернопільська область,Тернопіль,Бам,Тарнавського Мирона Генерала вулиця,15,0,8.237582,0.69650155
873,https://dom.ria.com/uk/realty-perevireno-prodaja-kvartira-kiev-goloseevskiy-jilyanskaya-ulitsa-17456667.html,https://cdn.riastatic.com/photos/dom/photo/11566/1156676/115667658/115667658.jpg,2020-09-04 06:12:17.000000,2020-09-06 08:26:45.547091,325000,129.08,0,0,3,23,23,primary,ЖК Тридцять восьма перлина,0101000020E6100000CFDFD26CD6803E40990ED806DF374940,Київська область,Київ,Голосіївський район,Жилянська вулиця,"",7.0595407,0.57572174,1.041648
